author_a,author_b,author_a_name,author_b_name,papers_shared,weight_frac,both_faculty
bulow_jeremyi_01,rogoff_kenneth_01,Jeremy I. Bulow,Kenneth Rogoff,9,7.833333,false
campbell_johny_03,ramadorai_tarun_01,John Y. Campbell,Tarun Ramadorai,9,4.416667,false
chernew_michaele_01,cutler_davidm_01,Michael E. Chernew,David M. Cutler,9,3.457576,false
choi_jamesj_01,metrick_andrew_01,James J.Choi,Andrew Metrick,9,2.650000,false
cutler_davidm_01,mcclellan_mark_01,David M. Cutler,Mark McClellan,9,6.166667,false
cutler_davidm_01,summers_lawrenceh_01,David M. Cutler,Lawrence H. Summers,9,6.333333,true
deming_davidj_01,goldin_claudia_01,David J. Deming,Claudia Goldin,9,3.750000,true
deming_davidj_01,katz_lawrencef_01,David J. Deming,Lawrence F. Katz,9,3.750000,true
gennetian_lisaa_01,kling_jeffreyr_01,Lisa A. Gennetian,Jeffrey R. Kling,9,1.140415,false
glaeser_edwardl_01,shapiro_jessem_03,Edward L. Glaeser,Jesse M. Shapiro,9,7.500000,true
hanson_samuelg_02,stein_jeremy_03,Samuel G. Hanson,Jeremy Stein,9,4.033333,false
kleinberg_jonm_01,ludwig_jenso_02,Jon M. Kleinberg,Jens O Ludwig,9,2.666667,false
laibson_david_01,metrick_andrew_01,David Laibson,Andrew Metrick,9,2.650000,false
mankiw_ngregory_01,reis_ricardo_01,N. Gregory Mankiw,Ricardo Reis,9,8.000000,false
murphy_kevin_01,shleifer_andrei_01,Kevin Murphy,Andrei Shleifer,9,5.500000,false
newey_whitneyk_02,syrgkanis_vasilis_01,Whitney K. Newey,Vasilis Syrgkanis,9,2.733333,false
olken_benjamina_01,sumarto_sudarno_01,Benjamin A. Olken,Sudarno Sumarto,9,2.016667,false
yang_davidy_03,yuchtman_noam_01,David Y. Yang,Noam Yuchtman,9,2.916667,false
acemoglu_daron_01,autor_davidh_01,Daron Acemoglu,David H. Autor,8,4.833333,true
acemoglu_daron_01,malekian_azarakhsh_01,Daron Acemoglu,Azarakhsh Malekian,8,2.750000,false
acemoglu_daron_01,zilibotti_fabrizio_01,Daron Acemoglu,Fabrizio Zilibotti,8,5.083333,false
aguiar_mark_01,gopinath_gita_01,Mark Aguiar,Gita Gopinath,8,5.666667,false
alsan_marcella_03,banerjee_abhijitv_02,Marcella Alsan,Abhijit V. Banerjee,8,0.753704,false
alsan_marcella_03,chandrasekhar_arung_02,Marcella Alsan,Arun G. Chandrasekhar,8,0.729894,false
alsan_marcella_03,duflo_esther_01,Marcella Alsan,Esther Duflo),8,0.729894,false
alsan_marcella_03,olken_benjamina_01,Marcella Alsan,Benjamin A. Olken,8,0.796561,false
angrist_joshuad_01,lavy_victor_01,Joshua D. Angrist,Victor Lavy,8,6.333333,false
arora_abhishek_01,dell_melissa_01,Abhishek Arora,Melissa Dell,8,3.027778,false
ball_laurence_02,mankiw_ngregory_01,Laurence Ball,N. Gregory Mankiw,8,6.333333,false
banerjee_abhijitv_02,banerjee_withabhijit_04,Abhijit V. Banerjee,with Abhijit Banerjee,8,1.733333,false
barro_robert_02,salaimartin_xavier_01,Robert Barro,Xavier Sala-i-Martin,8,7.500000,false
beauchamp_jonathanp_01,benjamin_danielj_01,Jonathan P. Beauchamp,Daniel J. Benjamin,8,0.713551,false
bergemann_dirk_01,brooks_benjamin_01,Dirk Bergemann,Benjamin Brooks,8,4.000000,false
blanchflower_davidg_02,freeman_richardb_01,David G. Blanchflower,Richard B. Freeman,8,7.500000,false
breza_emily_02,olken_benjamina_01,Emily Breza,Benjamin A. Olken,8,0.796561,true
brooks_benjamin_01,morris_stephen_03,Benjamin Brooks,Stephen Morris,8,4.000000,false
caballero_ricardo_01,hammour_mohamad_01,Ricardo Caballero,Mohamad Hammour,8,7.500000,false
cesarini_david_01,koellinger_philippd_01,David Cesarini,Philipp D. Koellinger,8,0.270237,false
cesarini_david_01,visscher_peterm_01,David Cesarini,Peter M. Visscher,8,0.381977,false
chernozhukov_victor_01,galichon_a_01,Victor Chernozhukov,A. Galichon,8,3.500000,false
chernozhukov_victor_01,singh_rahul_02,Victor Chernozhukov,Rahul Singh,8,2.316667,true
chernozhukov_victor_01,zhu_yinchu_04,Victor Chernozhukov,Yinchu Zhu,8,3.500000,false
duflo_esther_01,schilbach_frank_01,Esther Duflo),Frank Schilbach,8,1.285714,false
enke_benjamin_01,graeber_thomas_01,Benjamin Enke,Thomas Graeber,8,5.000000,false
friedman_benjaminm_01,kuttner_kenneth_01,Benjamin M.Friedman,Kenneth Kuttner,8,8.000000,false
froot_kenneth_01,stein_jeremy_03,Kenneth Froot,Jeremy Stein,8,7.500000,false
glaeser_edwardl_01,scheinkman_jose_01,Edward L. Glaeser,Jose Scheinkman,8,4.000000,false
goldin_claudia_01,olivetti_claudia_01,Claudia Goldin,Claudia Olivetti,8,4.333333,false
green_jerry_04,sheshinski_eytan_01,Jerry Green,Eytan Sheshinski,8,7.000000,false
hahn_withjinyong_02,hausman_jerry_01,with Jinyong Hahn,Jerry Hausman,8,6.500000,false
hanna_rema_01,sumarto_sudarno_01,Rema Hanna,Sudarno Sumarto,8,1.816667,false
helpman_elhanan_01,redding_stephenj_01,Elhanan Helpman,Stephen J. Redding,8,3.416667,false
katz_lawrencef_01,liebman_jeffreyb_01,Lawrence F. Katz,Jeffrey B. Liebman,8,2.892857,false
kline_brendan_01,tamer_elie_01,Brendan Kline,Elie Tamer,8,7.500000,false
kling_jeffreyr_01,liebman_jeffreyb_01,Jeffrey R. Kling,Jeffrey B. Liebman,8,2.892857,false
koellinger_philippd_01,laibson_david_01,Philipp D. Koellinger,David Laibson,8,0.270237,false
koopman_siemjan_01,shephard_neil_02,Siem Jan Koopman,Neil Shephard,8,4.333333,false
laibson_david_01,turley_patrick_01,David Laibson,Patrick Turley,8,0.485357,false
laibson_david_01,visscher_peterm_01,David Laibson,Peter M. Visscher,8,0.381977,false
laporta_rafael_01,vishny_robert_01,Rafael LaPorta,Robert Vishny,8,2.666667,false
lopezdesilanes_florencio_01,vishny_robert_01,Florencio Lopez-de-Silanes,Robert Vishny,8,2.833333,false
lunde_asger_01,shephard_neil_02,Asger Lunde,Neil Shephard,8,3.000000,false
madrian_brigittec_01,metrick_andrew_01,Brigitte C. Madrian,Andrew Metrick,8,2.150000,false
malekian_azarakhsh_01,ozdaglar_asumane_01,Azarakhsh Malekian,Asuman E. Ozdaglar,8,2.750000,false
mankiw_ngregory_01,summers_lawrenceh_01,N. Gregory Mankiw,Lawrence H. Summers,8,5.166667,true
maskin_erics_01,riley_b_01,Eric S. Maskin,B. Riley,8,7.500000,false
newey_whitneyk_02,singh_rahul_02,Whitney K. Newey,Rahul Singh,8,2.316667,false
rosen_allisonb_02,stewart_susant_04,Allison B. Rosen,Susan T. Stewart,8,2.136111,false
