author_id,display_name,name_variants,prof_id_if_faculty,is_faculty
almagro_withmilena_01,with Milena Almagro,with Milena Almagro,,false
almunia_miguel_01,Miguel Almunia,Miguel Almunia,,false
aloisi_kali_01,Kali Aloisi,Kali Aloisi,,false
alon_noga_01,Noga Alon,Noga Alon,,false
alpert_williamt_01,William T. Alpert,William T. Alpert,,false
alsan_burak_01,Burak Alsan,Burak Alsan,,false
alsan_marcela_02,Marcela Alsan,Marcela Alsan,,false
alsan_marcella_03,Marcella Alsan,M. Alsan|Marcella Alsan,,false
alter_george_01,George Alter,George Alter,,false
altman_daniel_01,Daniel Altman,Daniel Altman,,false
altman_instuart_02,in Stuart Altman,in Stuart Altman,,false
altman_s_03,S. Altman,S. Altman,,false
alvaredo_facundo_01,Facundo Alvaredo,Facundo Alvaredo,,false
alver_maris_01,Maris Alver,Maris Alver,,false
amador_manuel_01,Manuel Amador,Manuel Amador,,false
amato_jefferyd_01,Jeffery D. Amato,Jeffery D. Amato,,false
ambrus_attila_01,Attila Ambrus,Attila Ambrus,,false
ambuehl_sandro_01,Sandro Ambuehl,Sandro Ambuehl,,false
amir_on_01,On Amir,On Amir,,false
amiti_mary_01,Mary Amiti,Mary Amiti,,false
ammer_john_01,John Ammer,John Ammer,,false
amrani_zakariael_01,Zakaria El Amrani,Zakaria El Amrani,,false
anand_sudhir_01,Sudhir Anand,Sudhir Anand,,false
anatolyev_withstanislav_01,with Stanislav Anatolyev,with Stanislav Anatolyev,,false
anders_j_01,J. Anders,J. Anders,,false
andersen_asger_01,Asger Andersen,Asger Andersen,,false
andersen_steffen_02,Steffen Andersen,Steffen Andersen,,false
andersen_torbeng_03,Torben G. Andersen,Torben G. Andersen,,false
anderson_ashton_01,Ashton Anderson,Ashton Anderson,,false
anderson_garyw_02,Gary W. Anderson,Anderson|Gary Anderson|Gary W. Anderson,,false
andirin_velim_01,Veli M. Andirin,Veli M. Andirin,,false
andrews_donald_01,Donald Andrews,Donald Andrews,,false
andrews_isaiah_02,Isaiah Andrews,Andrews|Isaiah Andrews,mit_andrews_isaiah,true
andrews_withisaiah_03,with Isaiah Andrews,with Isaiah Andrews,,false
angeletos_georgemarios_01,George-Marios Angeletos,George-Marios Angeletos,,false
angrist_joshuad_01,Joshua D. Angrist,J. Angrist|Josh Angrist|Joshua Angrist|Joshua D. Angrist,mit_angrist_josh,true
angus_dptderekc_01,DPT; Derek C. Angus,DPT; Derek C. Angus,,false
anthoff_david_01,David Anthoff,David Anthoff,,false
antras_pol_01,Pol Antràs,P. Antras|Pol Antras|Pol Antràs,harvard_antras_pol,true
aparicio_d_01,D. Aparicio,D. Aparicio,,false
appelbaum_eileen_01,Eileen Appelbaum,Eileen Appelbaum,,false
appendices_january2020_01,January 2020. Appendices.,January 2020. Appendices.,,false
